"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields
FGCS,2015,Optimizing virtual machine allocation for parallel scientific workflows in federated clouds,10.1016/j.future.2014.10.009,y,n,2,n,2,?,?,"""Input dataset""",scientific,"bioinformatics, bioinformatics"
FGCS,2015,Algorithms for cost- and deadline-constrained provisioning for scientific workflow ensembles in IaaS clouds,10.1016/j.future.2015.01.004,y,n,5,y,1100,1000,50,,scientific,"bioinformatics, physics, bioinformatics, astronomy, geology"
FGCS,2015,CloudFlow: A data-aware programming model for cloud workflow applications on modern HPC systems,10.1016/j.future.2014.10.028,n,,,,,,,,,
FGCS,2015,Recent advances in Scalable Workflow Enactment Engines and Technologies,10.1016/j.future.2015.01.003,n,,,,,,,,,
FGCS,2016,Scheduling and flexible control of bandwidth and in-transit services for end-to-end application workflows,10.1016/j.future.2015.09.011,n,,,,,,,,,
FGCS,2016,A security and cost aware scheduling algorithm for heterogeneous tasks of scientific workflow in clouds,10.1016/j.future.2015.12.014,y,n,3,n,3,?,?,,scientific,"physics, bioinformatics, geology"
FGCS,2016,Low-time complexity budget-deadline constrained workflow scheduling on heterogeneous resources,10.1016/j.future.2015.07.021,y,y and n,2,n,10000,90,30,,scientific,"astronomy, bioinformatics"
FGCS,2016,"Combining analytical modeling, realistic simulation and real experimentation for the optimization of Monte-Carlo applications on the European Grid Infrastructure",10.1016/j.future.2015.11.002,n,,,,,,,,,
FGCS,2016,Workflow-and-Platform Aware task clustering for scientific workflow execution in Cloud environment,10.1016/j.future.2016.05.008,y,n,4,n,8,1000,100,barathi generator,scientific,"astronomy, geology, physics, bioinformatics"
FGCS,2016,"HyperFlow: A model of computation, programming approach and enactment engine for complex distributed workflows",10.1016/j.future.2015.08.015,y,n,3,n,1,10000,10000,pegasus generator,scientific,"bioinformatics, bioinformatics, astronomy"
FGCS,2016,Scheduling online mixed-parallel workflows of rigid tasks in heterogeneous multi-cluster environments,10.1016/j.future.2016.01.013,y,n,1,n,2000,100,20,,uncategorized,uncategorized
FGCS,2016,Effective and efficient similarity search in scientific workflow repositories,10.1016/j.future.2015.06.012,y,y,1,n,1483,?,?,,scientific,uncategorized
FGCS,2016,Overcoming data locality: An in-memory runtime file system with symmetrical data distribution,10.1016/j.future.2015.01.013,n,,,,,,,,,
FGCS,2016,Scalable and efficient whole-exome data processing using workflows on the cloud,10.1016/j.future.2016.01.001,n,,,,,,,,,
FGCS,2016,PCP-B2: Partial critical path budget balanced scheduling algorithms for scientific workflow applications,10.1016/j.future.2016.01.004,y,n,5,n,1100,1000,50,identical to 10.1016/j.future.2015.01.004,scientific,"astronomy, physics, bioinformatics, geology, bioinformatics"
FGCS,2016,Workflow performance improvement using model-based scheduling over multiple clusters and clouds,10.1016/j.future.2015.03.017,n,,,,,,,,,
FGCS,2016,Reliability-driven scheduling of time/cost-constrained grid workflows,10.1016/j.future.2015.07.014,y,n,8,n,9,1000,8,,scientific,"bioinformatics, bioinformatics, bioinformatics, astronomy, physics, geology, bioinformatics, meteorology, virology"
FGCS,2016,Static scheduling of multiple workflows with soft deadlines in non-dedicated heterogeneous environments,10.1016/j.future.2015.08.009,y,n,1,n,20,1000,5,,scientific,"geology, bioinformatics, meteorology"
FGCS,2016,Modeling and scheduling hybrid workflows of tasks and task interaction graphs on the cloud,10.1016/j.future.2016.05.029,y,n,5,y,9,1000,100,pegasus gallery from the website,scientific,"geology, bioinformatics, physics, astronomy, bioinformatics"
FGCS,2016,SDN-aware federation of distributed data,10.1016/j.future.2015.09.032,y,y,1,n,1,?,?,,scientific,astronomy
FGCS,2016,Risk-aware intermediate dataset backup strategy in cloud-based data intensive workflows,10.1016/j.future.2014.08.009,y,n,1,n,2,32,32,,uncategorized,uncategorized
FGCS,2017,A balanced scheduler with data reuse and replication for scientific workflows in cloud computing systems,10.1016/j.future.2015.12.005,n,,,,,,,,,
FGCS,2017,Software architectures to integrate workflow engines in science gateways,10.1016/j.future.2017.01.005,n,,,,,,,,,
FGCS,2017,"Abstract, link, publish, exploit: An end to end framework for workflow sharing",10.1016/j.future.2017.01.008,n,,,,,,,,,
FGCS,2017,"Scientific workflows for computational reproducibility in the life sciences: Status, challenges and opportunities",10.1016/j.future.2017.01.012,n,,,,,,,,,
FGCS,2017,InfraPhenoGrid: A scientific workflow infrastructure for plant phenomics on the Grid,10.1016/j.future.2016.06.002,n,,,,,,,,,
FGCS,2017,Orchestration and analysis of decentralized workflows within heterogeneous networking infrastructures,10.1016/j.future.2017.01.007,n,,,,,,,,,
FGCS,2017,A cross-layer optimized storage system for workflow applications,10.1016/j.future.2017.02.038,n,,,,,,,,,
FGCS,2017,ClowdFlows: Online workflows for distributed big data mining,10.1016/j.future.2016.07.018,n,,,,,,,,,
FGCS,2017,A hybrid evolutionary algorithm for task scheduling and data assignment of data-intensive scientific workflows on clouds,10.1016/j.future.2017.05.017,y,n,2,n,26,127,1,,"scientific, uncategorized","uncategorized, geology, bioinformatics, astronomy, physics"
FGCS,2017,A Critical Path File Location (CPFL) algorithm for data-aware multiworkflow scheduling on HPC clusters,10.1016/j.future.2017.04.025,y,n,2,n,80,?,?,,scientific,"bioinformatics, bioinformatics, bioinformatics, bioinformatics, astronomy, bioinformatics, uncategorized"
FGCS,2017,Performance analysis and optimization for workflow authorization,10.1016/j.future.2016.09.011,y,n,1,n,1000,15,15,,uncategorized,uncategorized
FGCS,2017,Scheduling deadline constrained scientific workflows on dynamically provisioned cloud resources,10.1016/j.future.2017.01.002,y,n,5,n,5,1000,1,pegasus WF generator,scientific,"geology, bioinformatics, astronomy, physics, bioinformatics"
FGCS,2017,Schlouder: A broker for IaaS clouds,10.1016/j.future.2016.09.010,n,,,,,,,,,
FGCS,2017,Forward Observer system for radar data workflows: Big data management in the field,10.1016/j.future.2017.05.031,n,,,,,,,,,
FGCS,2017,A characterization of workflow management systems for extreme-scale applications,10.1016/j.future.2017.02.026,n,,,,,,,,,
FGCS,2017,"Scientific workflows: Past, present and future",10.1016/j.future.2017.05.041,n,,,,,,,,,
FGCS,2017,Raw data queries during data-intensive parallel workflow execution,10.1016/j.future.2017.01.016,n,,,,,,,,,
FGCS,2017,Deriving scientific workflows from algebraic experiment lines: A practical approach,10.1016/j.future.2016.08.016,n,,,,,,,,,
FGCS,2017,Static analysis of Taverna workflows to predict provenance patterns,10.1016/j.future.2017.01.004,n,,,,,,,,,
FGCS,2017,MidHDC: Advanced topics on middleware services for heterogeneous distributed computing. Part 2,10.1016/j.future.2017.05.010,n,,,,,,,,,
FGCS,2017,Multi-QoS constrained and Profit-aware scheduling approach for concurrent workflows on heterogeneous systems,10.1016/j.future.2016.10.003,y,n,4,n,1200,120,30,"Uses DAG and pegasus generator. Calls pegasus generator ""Real world""....","scientific, uncategorized","uncategorized, astronomy, geology, bioinformatics, physics"
FGCS,2017,A delay-based dynamic scheduling algorithm for bag-of-task workflows with stochastic task execution times in clouds,10.1016/j.future.2017.01.020,y,n,5,n,1500,6000,100,,scientific,"astronomy, geology, bioinformatics, physics, bioinformatics"
FGCS,2017,Building an open source cloud environment with auto-scaling resources for executing bioinformatics and biomedical workflows,10.1016/j.future.2016.02.008,n,,,,,,,,,
FGCS,2017,Reproducibility of execution environments in computational science using Semantics and Clouds,10.1016/j.future.2015.12.017,n,,,,,,,,,
FGCS,2017,Planning virtual infrastructures for time critical applications with multiple deadline constraints,10.1016/j.future.2017.02.001,y,n,1,n,9,256,1,,uncategorized,uncategorized
FGCS,2017,Large-scale Biological Meta-Database Management,10.1016/j.future.2016.02.010,n,,,,,,,,,
FGCS,2017,Scientific workflows in data analysis: Bridging expertise across multiple domains,10.1016/j.future.2017.01.001,n,,,,,,,,,
FGCS,2017,An intelligent cloud-based data processing broker for mobile e-health multimedia applications,10.1016/j.future.2016.03.019,n,,,,,,,,,
FGCS,2018,Scheduling dynamic workloads in multi-tenant scientific workflow as a service platforms,10.1016/j.future.2017.05.009,y,n,1,n,7000,15,30,,scientific,"physics, bioinformatics, astronomy, geology, bioinformatics"
FGCS,2018,Structure aware resource estimation for effective scheduling and execution of data intensive workflows in cloud,10.1016/j.future.2017.09.001,y,n,4,n,4,100,100,,scientific,"astronomy, geology, bioinformatics, physics"
FGCS,2018,"Kuaa: A unified framework for design, deployment, execution, and recommendation of machine learning experiments",10.1016/j.future.2017.06.013,n,,,,,,,,,
FGCS,2018,A novel cost-efficient approach for deadline-constrained workflow scheduling by dynamic provisioning of resources,10.1016/j.future.2017.09.054,y,n,5,n,5,2000,25,,scientific,"astronomy, geology, physics, bioinformatics, bioinformatics"
FGCS,2018,A resource provisioning framework for bioinformatics applications in multi-cloud environments,10.1016/j.future.2016.06.008,n,,,,,,,,,
FGCS,2018,A GSA based hybrid algorithm for bi-objective workflow scheduling in cloud computing,10.1016/j.future.2018.01.005,y,n,5,n,5,2000,24,Bharathi generator,scientific,"geology, bioinformatics, physics, astronomy, bioinformatics"
HPDC,2009,A novel graph based approach for automatic composition of high quality grid workflows,10.1145/1551609.1551637,n,,,,,,,,,
HPDC,2009,An integrated framework for performance-based optimization of scientific workflows,10.1145/1551609.1551638,n,,,,,,,,,
HPDC,2009,The benefits of service choreography for data-intensive computing,10.1145/1552315.1552317,n,,,,,,,,,
HPDC,2009,An Integrated Framework for Parameter-based Optimization of Scientific Workflows.,10.1145/1551609.1551638,n,,,,,,,,,
HPDC,2010,Monitoring data quality in Kepler,10.1145/1851476.1851558,n,,,,,,,,,
HPDC,2010,Comparison of resource platform selection approaches for scientific workflows,,n,,,,,,,,,
HPDC,2010,A distributed workflow for an astrophysical OpenMP application: using the data capacitor over WAN to enhance productivity,10.1145/1851476.1851571,n,,,,,,,,,
HPDC,2010,Towards optimising distributed data streaming graphs using parallel streams,10.1145/1851476.1851583,n,,,,,,,,,
HPDC,2010,Data parallelism in bioinformatics workflows using Hydra,10.1145/1851476.1851550,n,,,,,,,,,
HPDC,2010,Biocompute: towards a collaborative workspace for data intensive bio-science,10.1145/1851476.1851547,n,,,,,,,,,
HPDC,2010,File-access patterns of data-intensive workflow applications and their implications to distributed filesystems,10.1145/1851476.1851585,n,,,,,,,,,
HPDC,2010,Weaver: integrating distributed computing abstractions into scientific workflows using Python,10.1145/1851476.1851570,n,,,,,,,,,
HPDC,2010,Performance analysis of dynamic workflow scheduling in multicluster grids,10.1145/1851476.1851483,y,n,4,y,10,1000,30,,"Scientific, Scientific, Scientific, Scientific","Geology, Physics, Astronomy, Bioinformatics"
HPDC,2010,ParaTrac: a fine-grained profiler for data-intensive workflows,10.1145/1851476.1851482,n,,,,,,,,,
HPDC,2010,Versioning for workflow evolution,10.1145/1851476.1851586,n,,,,,,,,,
HPDC,2010,Design and evaluation of a self-healing Kepler for scientific workflows,10.1145/1851476.1851525,n,,,,,,,,,
HPDC,2010,Pwrake: a parallel and distributed flexible workflow management tool for wide-area data intensive computing,10.1145/1851476.1851529,n,,,,,,,,,
HPDC,2010,Exploring application and infrastructure adaptation on hybrid grid-cloud infrastructure,10.1145/1851476.1851536,n,,,,,,,,,
HPDC,2010,Morco: middleware framework for long-running multi-component applications on batch grids,10.1145/1851476.1851522,y,n,1,n,1,?,?,?,Unknown,Unknown
HPDC,2013,Science as a service: how on-demand computing can accelerate discovery,10.1145/2465848.2480345,n,,,,,,,,,
HPDC,2013,Dimensioning the virtual cluster for parallel scientific workflows in clouds,10.1145/2465848.2465852,n,,,,,,,,,
HPDC,2013,Rebalancing in a multi-cloud environment,10.1145/2465848.2465854,y,y,1,n,1120,?,?,I assume a HTC Condor job is a WF,Unknown,Unknown
HPDC,2015,A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in IaaS Clouds,10.1145/2749246.2749251,y,n,1,n,180,1000,20,,scientific,"astronomy, bioinformatics, physics"
HPDC,2015,High Impact Computing: Computing for Science and the Science of Computing,10.1145/2749246.2749247,n,,,,,,,,,
HPDC,2017,Building Secure Platforms for Research on Human Subjects: The Importance of Computer Scientists,10.1145/3078597.3078618,n,,,,,,,,,
HPDC,2017,Explaining Wide Area Data Transfer Performance,10.1145/3078597.3078605,n,,,,,,,,,
HPDC,2017,MaDaTS: Managing Data on Tiered Storage for Scientific Workflows,10.1145/3078597.3078611,n,,,,,,,,,
HPDC,2017,Enabling Workflow-Aware Scheduling on HPC Systems,10.1145/3078597.3078604,y,"y, mixed",1,n,6,?,?,hard to get numbers of the duration: core hours reported only,scientific,"astronomy, bioinformatics, geology, geology"
IC2E,2014,Combining Declarative and Imperative Cloud Application Provisioning Based on TOSCA,10.1109/IC2E.2014.56,n,,,,,,,,,
IC2E,2015,Open Cloud eXchange (OCX): A Pivot for Intercloud Services Federation in Multi-provider Cloud Market Environment,10.1109/IC2E.2015.84,n,,,,,,,,,
IC2E,2015,Container Orchestration for Scientific Workflows,10.1109/IC2E.2015.87,n,,,,,,,,,
IC2E,2015,Building a Multi-tenant Cloud Service from Legacy Code with Docker Containers,10.1109/IC2E.2015.66,n,,,,,,,,,
IC2E,2016,A Study on Cloud Cost Efficiency by Exploiting Idle Billing Period Fractions,10.1109/IC2EW.2016.41,y,y,1,y,1,?,?,Pegasus WF,scientific,astronomy
IC2E,2016,ZeroTouch Provisioning (ZTP) Model and Infrastructure Components for Multi-provider Cloud Services Provisioning,10.1109/IC2EW.2016.50,n,,,,,,,,,
IC2E,2016,A Budget Constrained Scheduling Algorithm for Hybrid Cloud Computing Systems Under Data Privacy,10.1109/IC2E.2016.42,y,n,5,n,?,?,?,Pegasus Workflow Generator,"scientific, uncategorized","astronomy, physics, uncategorized"
IC2E,2017,QUEST: Search-Driven Management of Cloud-Scale Data Centers,10.1109/IC2E.2017.37,n,,,,,,,,,
ICDCS,2014,Exercising High-Level Parallel Programming on Streams: A Systems Biology Use Case,10.1109/ICDCSW.2014.38,n,,,,,,,,,
ICDCS,2014,WOHA: Deadline-Aware Map-Reduce Workflow Scheduling Framework over Hadoop Clusters,10.1109/ICDCS.2014.18,y,n,1,n,61,12,1,,"uncategorized, industry",web
ICDCS,2016,INSPECTOR: Data Provenance Using Intel Processor Trace (PT),10.1109/ICDCS.2016.86,n,,,,,,,,,
ICDCS,2016,On MinMax-Memory Claims for Scientific Workflows in the In-memory Cloud Computing,10.1109/ICDCS.2016.13,n,,,,,,,,,
ICDCS,2017,Workflow Optimization in PAW,10.1109/ICDCS.2017.108,y,n,2,n,1400,200,10,,"government, industry","telephone, sales"
ICDCS,2017,Software Defined Cyberinfrastructure,10.1109/ICDCS.2017.333,n,,,,,,,,,
ICDCS,2017,Computing in the Continuum: Combining Pervasive Devices and Services to Support Data-Driven Applications,10.1109/ICDCS.2017.323,n,,,,,,,,,
ICDCS,2017,Toward An Integrated Approach to Localizing Failures in Community Water Networks,10.1109/ICDCS.2017.294,n,,,,,,,,,
ICPE,2011,Performance modeling of distributed collaboration services,10.1145/1958746.1958818,n,,,,,,,,,
ICPE,2011,Using observation ageing to improve markovian model learning in QoS engineering,10.1145/1958746.1958823,y,y,1,y,1,26,26,I assume the Processors in MyExperiment are tasks,Scientific,Bioinformatics
ICPE,2017,An Experimental Performance Evaluation of Autoscaling Policies for Complex Workflows,10.1145/3030207.3030214,y,n,1,n,400,600,30,,scientific,"physics, bioinformatics, astronomy"
IPDPS,2010,A cost-effective strategy for intermediate data storage in scientific cloud workflow systems,10.1109/IPDPS.2010.5470453,y,y,1,n,?,?,?,,Scientific,Physics
IPDPS,2010,A simple thermal model for multi-core processors and its application to slack allocation,10.1109/IPDPS.2010.5470426,y,n,1,n,?,512,32,,Unknown,Unknown
IPDPS,2010,Scheduling algorithms for linear workflow optimization,10.1109/IPDPS.2010.5470346,n,,,,,,,,,
IPDPS,2010,Performance and energy optimization of concurrent pipelined applications,10.1109/IPDPS.2010.5470483,n,,,,,,,,,
IPDPS,2012,Enabling In-situ Execution of Coupled Scientific Workflow on Multi-core Platform,10.1109/IPDPS.2012.122,n,,,,,,,,,
IPDPS,2012,Automatic Resource Scheduling with Latency Hiding for Parallel Stencil Applications on GPGPU Clusters,10.1109/IPDPS.2012.57,n,,,,,,,,,
NSDI,2016,CFA: A Practical Prediction System for Video QoE Optimization,,y,n,1,n,1,?,?,,industry,web
OSDI,2014,Salt: Combining ACID and BASE in a Distributed Database,,n,,,,,,,,,
SIGMETRICS,2015,Multi-resource Fair Sharing for Multiclass Workflows,,y,y,1,n,1,180000,180000,"Google cluster trace
Yet they did not publish their subset",industry,web
TPDS,2009,On the Performance of a Dual-Objective Optimization Model for Workflow Applications on Grid Platforms,10.1109/TPDS.2008.225,y,n,1,n,1120,640,20,,Unknown,Unknown
GRID,2010,Cost-Driven Scheduling of Grid Workflows Using Partial Critical Paths,10.1109/GRID.2010.5697955,y,n,n,n,15,1000,30,Barathi generator,"Scientific, Scientific, Scientific, Scientific, Scientific","Astronomy, Geology, Bioinformatics, Physics, Bioinformatics"
TPDS,2011,Parameter Exploration in Science and Engineering Using Many-Task Computing,10.1109/TPDS.2010.177,n,,,,,,,,,
TPDS,2011,Many Task Computing for Real-Time Uncertainty Prediction and Data Assimilation in the Ocean,10.1109/TPDS.2011.64,n,,,,,,,,,
TPDS,2012,Meeting Soft Deadlines in Scientific Workflows Using Resubmission Impact,10.1109/TPDS.2011.221,y,y,3,n,25000,?,?,"1.1 billion computing hours, but no mention of #tasks","Engineering, Scientific, Scientific","Chemistry, Meteorology, Multimedia"
TPDS,2013,A Truthful Dynamic Workflow Scheduling Mechanism for Commercial Multicloud Environments,10.1109/TPDS.2012.257,y,y/n,2,n,1050,3000,10,50 Wien2k and 1000 random DAGs,"Engineering, Unknown","Chemistry, Unknown"
TPDS,2014,CRESP: Towards Optimal Resource Provisioning for MapReduce Computing in Public Clouds,10.1109/TPDS.2013.297,n,,,,,,,,,
TPDS,2014,Meeting Deadlines of Scientific Workflows in Public Clouds with Tasks Replication,10.1109/TPDS.2013.238,y,n,4,n,12,1000,50,,scientific,"astronomy, geology, physics, bioinformatics"
TPDS,2015,Computation Offloading for Service Workflow in Mobile Cloud Computing,10.1109/TPDS.2014.2381640,n,,,,,,,,,
TPDS,2015,Toward Better Quality of Service Composition Based on a Global Social Service Network,10.1109/TPDS.2014.2320748,n,,,,,,,,,
TPDS,2016,Fault-Tolerant Scheduling for Real-Time Scientific Workflows with Elastic Resource Provisioning in Virtualized Clouds,10.1109/TPDS.2016.2543731,y,n,5,n,400,500,50,,"uncategorized, scientific","uncategorized, astronomy, geology, bioinformatics, bioinformatics"
TPDS,2016,Minimum Dependencies Energy-Efficient Scheduling in Data Centers,10.1109/TPDS.2016.2542817,y,n,3,n,3,?,?,,scientific,"astronomy, bioinformatics, algorithmics"
TPDS,2016,Support for Provisioning and Configuration Decisions for Data Intensive Workflows,10.1109/TPDS.2015.2497693,n,,,,,,,they run BLAST and Montage code,,
TPDS,2016,Evolutionary Multi-Objective Workflow Scheduling in Cloud,10.1109/TPDS.2015.2446459,y,y,5,y,120,1000,24,Pegasus Project WFs,"scientific, uncategorized","astronomy, bioinformatics, geology, bioinformatics, physics, uncategorized"
TPDS,2016,A Multi-Objective Approach to Real-Time In-Situ Processing of Mobile-Application Workflows,10.1109/TPDS.2016.2532864,y,n,5,n,5,70,20,,uncategorized,uncategorized
TPDS,2017,A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in Geo-Distributed Clouds,10.1109/TPDS.2016.2599529,y,n,3,n,180,1000,20,,scientific,"physics, astronomy, geology"
TPDS,2017,Privacy-Aware Scheduling SaaS in High Performance Computing Environments,10.1109/TPDS.2016.2603153,n,,,,,,,,,
TPDS,2017,Deadline-Constrained Cost Optimization Approaches for Workflow Scheduling in Clouds,10.1109/TPDS.2017.2735400,y,n,4,n,80,500,50,,scientific,"geology, bioinformatics, physics, astronomy"
TPDS,2017,Scheduling for Workflows with Security-Sensitive Intermediate Data by Selective Tasks Duplication in Clouds,10.1109/TPDS.2017.2678507,y,y,5,y,10,1000,100,,scientific,"astronomy, geology, bioinformatics, physics, bioinformatics"
TPDS,2017,Scientific Workflow Mining in Clouds,10.1109/TPDS.2017.2696942,n,,,,,,,,,
TPDS,2017,Workflow Scheduling in Multi-Tenant Cloud Computing Environments,10.1109/TPDS.2016.2556668,y,n,2,n,8,1000,30,,scientific,"bioinformatics, geology"
TPDS,2017,Transport-Support Workflow Composition and Optimization for Big Data Movement in High-Performance Networks,10.1109/TPDS.2017.2732987,y,n,1,n,1,?,?,,uncategorized,uncategorized
TPDS,2017,Using MinMax-Memory Claims to Improve In-Memory Workflow Computations in the Cloud,10.1109/TPDS.2016.2614294,y,n,1,n,100,96,96,,uncategorized,uncategorized
TPDS,2017,A Cloud Reservation System for Big Data Applications,10.1109/TPDS.2016.2594783,n,,,,,,,,,
TPDS,2017,Using Imbalance Characteristic for Fault-Tolerant Workflow Scheduling in Cloud Systems,10.1109/TPDS.2017.2687923,y,y,4,y,5,1500,997,,"scientific, uncategorized","astronomy, bioinformatics, geology, physics"
TPDS,2017,Trajectory Pattern Mining for Urban Computing in the Cloud,10.1109/TPDS.2016.2565480,n,,,,,,,,,
TPDS,2018,A Job Sizing Strategy for High-Throughput Scientific Workflows,10.1109/TPDS.2017.2762310,y,y,3,n,3,538078,826,,industry,"physics, physics, bioinformatics"
TPDS,2018,Combining Static and Dynamic Storage Management for Data Intensive Scientific Workflows,10.1109/TPDS.2017.2764897,y,n,3,n,14,98302,22,,scientific,"uncategorized, astronomy, bioinformatics"
SC,2009,Predicting the execution time of grid workflow applications through local learning,10.1145/1654059.1654093,y,y,3,n,?,?,?,"Only timespan and total task count is given (Wien2k, Invmod, MeteoAG)","scientific, scientific, scientific","physics, physics, meteorology"
SC,2009,VGrADS: enabling e-Science workflows on grids and clouds with fault tolerance,10.1145/1654059.1654107,n,,,,,,,,,
SC,2010,JAWS: Job-Aware Workload Scheduling for the Exploration of Turbulence Simulations,10.1109/SC.2010.31,n,,,,,,,workload derived from the SQL log on the Turbulence cluster,,
SC,2010,Power-Aware Consolidation of Scientific Workflows in Virtualized Environments,10.1109/SC.2010.43,y,n,3,n,?,?,?,The synthetic scientific workflows are from a set of benchmark scientific applications developed by Bharathi et al.,"uncategorized, uncategorized, uncategorized","uncategorized, uncategorized, uncategorized"
SC,2010,Data Sharing Options for Scientific Workflows on Amazon EC2,10.1109/SC.2010.17,n,,,,,,,,,
SC,2011,Auto-scaling to minimize cost and meet application deadlines in cloud workflows,10.1145/2063384.2063449,n,,,,,,,"Synthetic workflows are generated for three types of representative applications: Pipeline, Parallel and Hybrid",,
SC,2012,Cost- and deadline-constrained provisioning for scientific workflow ensembles in IaaS clouds,10.1109/SC.2012.38,y,n,5,n,1100,1000,50,"synthetic worflows generated out of SIPHT, LIGO, Epigenomics, Montage and CyberShake","scientific, scientific, scientific, scientific, scientific","bioinformatics, physics, bioinformatics, astronomy, geology"
SC,2012,Combining in-situ and in-transit processing to enable extreme-scale scientific analysis,10.1109/SC.2012.31,n,,,,,,,,,
SC,2012,First-ever full observable universe simulation,10.1109/SC.2012.58,n,,,,,,,,,
SC,2013,Physics-based seismic hazard analysis on petascale heterogeneous supercomputers,10.1145/2503210.2503300,n,,,,,,,,,
SC,2013,The Science DMZ: a network design pattern for data-intensive science,10.1145/2503210.2503245,n,,,,,,,,,
SC,2013,Exploring power behaviors and trade-offs of in-situ data analytics,10.1145/2503210.2503303,n,,,,,,,,,
SC,2013,Using cross-layer adaptations for dynamic data management in large scale coupled scientific workflows,10.1145/2503210.2503301,n,,,,,,,,,
SC,2014,An Image-Based Approach to Extreme Scale in Situ Visualization and Analysis,10.1109/SC.2014.40,n,,,,,,,,,
SC,2014,"The DRIHM Project: A Flexible Approach to Integrate HPC, Grid and Cloud Resources for Hydro-Meteorological Research",10.1109/SC.2014.49,n,,,,,,,,,
SC,2015,Large-scale compute-intensive analysis via a combined in-situ and co-scheduling workflow approach,10.1145/2807591.2807663,n,,,,,,,,,
SC,2015,AnalyzeThis: an analysis workflow-aware storage system,10.1145/2807591.2807622,n,,,,,,,,,
SC,2015,Big omics data experience,10.1145/2807591.2807595,n,,,,,,,,,
SC,2015,Adaptive data placement for staging-based coupled scientific workflows,10.1145/2807591.2807669,y,y,2,?,?,?,?,data access traces from existing real applications,"scientific, scientific","physics, physics"
SC,2016,A highly effective global surface wave numerical simulation with ultra-high resolution,10.1109/SC.2016.4,n,,,,,,,,,
SC,2017,PapyrusKV: a high-performance parallel key-value store for distributed NVM architectures,10.1145/3126908.3126943,n,,,,,,,,,
SC,2017,Charliecloud: unprivileged containers for user-defined software stacks in HPC,10.1145/3126908.3126925,n,,,,,,,,,
SC,2018,Stacker: an autonomic data movement engine for extreme-scale data staging-based in-situ workflows,,n,,,,,,,,,
